community,people,contracts,total_usdt,수집시각(KST)
(none),32,242,76450.0,2026-07-08 05:04:27
서천,15,57,71525.0,2026-07-08 05:04:27
문정,25,112,71491.7,2026-07-08 05:04:27
전주 완산,16,43,61925.0,2026-07-08 05:04:27
목포,20,70,52658.3,2026-07-08 05:04:27
서울 도봉구,23,79,47350.0,2026-07-08 05:04:27
구미,24,71,41733.3,2026-07-08 05:04:27
부산 진구,13,25,34250.0,2026-07-08 05:04:27
울산 중구,7,16,29875.0,2026-07-08 05:04:27
울산 남구,9,16,29408.3,2026-07-08 05:04:27
광주 광산,10,24,28783.3,2026-07-08 05:04:27
여수,12,28,27483.3,2026-07-08 05:04:27
안동,13,38,27250.0,2026-07-08 05:04:27
인천 연수구,8,22,24250.0,2026-07-08 05:04:27
대전 서구,11,26,18633.3,2026-07-08 05:04:27
서울 노원구,10,32,18075.0,2026-07-08 05:04:27
의정부,9,30,15083.3,2026-07-08 05:04:27
부천,8,31,14783.3,2026-07-08 05:04:27
서울 마포구,10,30,14450.0,2026-07-08 05:04:27
서울 은평구,2,5,13458.3,2026-07-08 05:04:27
강릉,10,31,12616.7,2026-07-08 05:04:27
논산,3,7,10933.3,2026-07-08 05:04:27
나주,4,11,10558.3,2026-07-08 05:04:27
진주,1,1,10416.7,2026-07-08 05:04:27
평택,6,21,9758.3,2026-07-08 05:04:27
대전 중구,8,23,9600.0,2026-07-08 05:04:27
포항,2,3,9166.7,2026-07-08 05:04:27
전주 덕진,4,11,9141.7,2026-07-08 05:04:27
익산,7,24,9041.7,2026-07-08 05:04:27
대전 유성구,7,17,8758.3,2026-07-08 05:04:27
대구 북구,6,15,8475.0,2026-07-08 05:04:27
성남,8,18,8150.0,2026-07-08 05:04:27
안산,4,15,7800.0,2026-07-08 05:04:27
용인 동백,6,11,7766.7,2026-07-08 05:04:27
광주동구,2,7,6858.3,2026-07-08 05:04:27
수원 팔달구,7,13,6608.3,2026-07-08 05:04:27
광주 북구,4,16,5475.0,2026-07-08 05:04:27
군산,3,11,5033.3,2026-07-08 05:04:27
광명,5,7,5000.0,2026-07-08 05:04:27
김해,5,7,5000.0,2026-07-08 05:04:27
대구 동구,5,10,4700.0,2026-07-08 05:04:27
대전 대덕구,4,10,4683.3,2026-07-08 05:04:27
고양 덕양,4,11,4408.3,2026-07-08 05:04:27
안양,2,7,4316.7,2026-07-08 05:04:27
서울 성동구,4,6,3833.3,2026-07-08 05:04:27
서울 강동구,3,10,3550.0,2026-07-08 05:04:27
울산 울주,3,7,3441.7,2026-07-08 05:04:27
청주,3,7,3208.3,2026-07-08 05:04:27
춘천,2,7,2691.7,2026-07-08 05:04:27
마산,2,5,2183.3,2026-07-08 05:04:27
세종,3,5,2141.7,2026-07-08 05:04:27
남양주 별내,1,2,2083.3,2026-07-08 05:04:27
아산,2,6,2016.7,2026-07-08 05:04:27
홍성,2,4,1766.7,2026-07-08 05:04:27
하남,2,3,1750.0,2026-07-08 05:04:27
천안,2,3,1683.3,2026-07-08 05:04:27
제주,1,2,1166.7,2026-07-08 05:04:27
서산,1,2,1041.7,2026-07-08 05:04:27
화성 동탄,1,2,941.7,2026-07-08 05:04:27
대구 달서구,1,3,933.3,2026-07-08 05:04:27
당진,1,2,916.7,2026-07-08 05:04:27
파주,1,2,916.7,2026-07-08 05:04:27
지원팀,1,2,850.0,2026-07-08 05:04:27
인천 서구(청라),1,2,850.0,2026-07-08 05:04:27
서울 강남구,1,1,833.3,2026-07-08 05:04:27
김제,1,1,833.3,2026-07-08 05:04:27
원주,1,1,833.3,2026-07-08 05:04:27
서울 강서구,1,1,833.3,2026-07-08 05:04:27
태백,1,1,833.3,2026-07-08 05:04:27
