day,community,new_people,수집시각(KST)
2026-07-07,전주 완산,5,2026-07-08 05:04:29
2026-07-07,용인 동백,2,2026-07-08 05:04:29
2026-07-07,서울 노원구,1,2026-07-08 05:04:29
2026-07-07,하남,1,2026-07-08 05:04:29
2026-07-07,김해,1,2026-07-08 05:04:29
2026-07-07,대구 동구,1,2026-07-08 05:04:29
2026-07-07,원주,1,2026-07-08 05:04:29
2026-07-07,서울 마포구,1,2026-07-08 05:04:29
2026-07-07,울산 남구,1,2026-07-08 05:04:29
2026-07-07,서천,1,2026-07-08 05:04:29
2026-07-06,울산 중구,4,2026-07-08 05:04:29
2026-07-06,김해,2,2026-07-08 05:04:29
2026-07-06,대전 서구,1,2026-07-08 05:04:29
2026-07-06,서천,1,2026-07-08 05:04:29
2026-07-06,전주 완산,1,2026-07-08 05:04:29
2026-07-06,서울 도봉구,1,2026-07-08 05:04:29
2026-07-06,강릉,1,2026-07-08 05:04:29
2026-07-06,목포,1,2026-07-08 05:04:29
2026-07-06,성남,1,2026-07-08 05:04:29
2026-07-06,인천 연수구,1,2026-07-08 05:04:29
2026-07-06,부산 진구,1,2026-07-08 05:04:29
2026-07-05,부산 진구,3,2026-07-08 05:04:29
2026-07-05,논산,2,2026-07-08 05:04:29
2026-07-05,대전 서구,2,2026-07-08 05:04:29
2026-07-05,성남,1,2026-07-08 05:04:29
2026-07-05,광주 광산,1,2026-07-08 05:04:29
2026-07-05,대전 대덕구,1,2026-07-08 05:04:29
2026-07-05,서울 도봉구,1,2026-07-08 05:04:29
2026-07-05,마산,1,2026-07-08 05:04:29
2026-07-05,강릉,1,2026-07-08 05:04:29
2026-07-05,김해,1,2026-07-08 05:04:29
2026-07-05,목포,1,2026-07-08 05:04:29
