Time,USDT 입금,USDT 출금,KWT 입금,KWT 출금,SUT 입금,SUT 출금,MPC 입금,MPC 출금,수집시각(KST)
2026-06-28,104700,0,0,1473000,373651,0,0,0,2026-07-08 05:04:11
2026-06-29,147800,50916,7069195,627278414,486294,999,0,0,2026-07-08 05:04:11
2026-06-30,81150,1349,15187196,20736588,363711,11429,53802,0,2026-07-08 05:04:11
2026-07-01,88300,0,1480128813,121255500,282163,16175,0,0,2026-07-08 05:04:11
2026-07-02,82350,0,1094606316,5483469,284859,1235,114,0,2026-07-08 05:04:11
2026-07-03,68731,1000,650001885,0,203335,1689,0,0,2026-07-08 05:04:11
2026-07-04,20390,0,81657338,1399000,69853,1125,46524,45000,2026-07-08 05:04:11
2026-07-05,39190,19,65898285,3938374,141316,262,27246,249018,2026-07-08 05:04:11
2026-07-06,94080,62595,1055554695,1194787554,314101,21887,0,0,2026-07-08 05:04:11
2026-07-07,30920,2758,424603678,132417500,124292,19,0,0,2026-07-08 05:04:11
