Time,SUT 입금,SUT 출금
2026-06-07 09:00:00,20279,9937
2026-06-08 09:00:00,41340,5051
2026-06-09 09:00:00,28904,6100
2026-06-10 09:00:00,17568,8603
2026-06-11 09:00:00,209281,12568
2026-06-12 09:00:00,84588,31591
2026-06-13 09:00:00,27398,24317
2026-06-14 09:00:00,8136,14293
2026-06-15 09:00:00,18424,48677
2026-06-16 09:00:00,11122,34970
2026-06-17 09:00:00,2167,37032
2026-06-18 09:00:00,6461,61203
2026-06-19 09:00:00,3167,54079
2026-06-20 09:00:00,1396,112745
2026-06-21 09:00:00,10555,200970
2026-06-22 09:00:00,10417,4601
2026-06-23 09:00:00,2383,0
2026-06-24 09:00:00,5883,0
2026-06-25 09:00:00,2569,0
2026-06-26 09:00:00,1433,0
2026-06-27 09:00:00,1273,0
2026-06-28 09:00:00,373651,0
2026-06-29 09:00:00,486294,999
2026-06-30 09:00:00,363711,11429
2026-07-01 09:00:00,282163,16175
2026-07-02 09:00:00,284859,1235
2026-07-03 09:00:00,203335,1689
2026-07-04 09:00:00,69853,1125
2026-07-05 09:00:00,141316,262
2026-07-06 09:00:00,314101,21887
2026-07-07 09:00:00,106023,19
